id_anonimo,cargo,lotacao,tipo_campus
1,ADMINISTRADOR (PCIFE) - 701001,DG/ZN,Capital
2,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/JC,Interior
3,AUDITOR (PCIFE) - 701009,RE,Capital
4,AUX EM ADMINISTRACAO (PCIFE) - 701405,CSGA,Interior
5,TECNICO EM CONTABILIDADE (PCIFE) - 701224,DG/SPO,Interior
6,ANALISTA DE TEC DA INFORMACAO (PCIFE) - 701062,DG/CNAT,Capital
7,AUXILIAR DE ENFERMAGEM (PCIFE) - 701411,DG/CNAT,Capital
8,CONTADOR (PCIFE) - 701015,DG/CNAT,Capital
9,ANALISTA DE TEC DA INFORMACAO (PCIFE) - 701062,RE,Capital
10,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DIAC/CANG,Interior
11,ADMINISTRADOR (PCIFE) - 701001,DG/JC,Interior
12,TEC DE TECNOLOGIA DA INFORMACAO (PCIFE) - 701226,RE,Capital
13,TECNICO EM ASSUNTOS EDUCACIONAIS (PCIFE) - 701079,DG/CNAT,Capital
14,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,CM,Interior
15,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/PF,Interior
16,TRADUTOR INTERPRETE DE LINGUAGEM SINAIS (PCIFE) - 701266,DG/CNAT,Capital
17,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/ZN,Capital
18,TECNICO EM ASSUNTOS EDUCACIONAIS (PCIFE) - 701079,DG/CA,Interior
19,ENFERMEIRO-AREA (PCIFE) - 701029,DG/SPO,Interior
20,AUX EM ADMINISTRACAO (PCIFE) - 701405,DG/JC,Interior
21,ADMINISTRADOR (PCIFE) - 701001,DG/CNAT,Capital
22,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/PF,Interior
23,TECNICO EM ELETROTECNICA (PCIFE) - 701230,DG/CNAT,Capital
24,TECNICO EM ENFERMAGEM (PCIFE) - 701233,DG/PF,Interior
25,TRADUTOR INTERPRETE DE LINGUAGEM SINAIS (PCIFE) - 701266,CM,Interior
26,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/PAR,Interior
27,SECRETARIO EXECUTIVO (PCIFE) - 701076,RE,Capital
28,AUX EM ADMINISTRACAO (PCIFE) - 701405,RE,Capital
29,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CA,Interior
30,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
31,IMPRESSOR (PCIFE) - 701436,DG/CNAT,Capital
32,MOTORISTA (PCIFE) - 701445,DG/CNAT,Capital
33,ADMINISTRADOR (PCIFE) - 701001,DG/CNAT,Capital
34,PEDAGOGO-AREA (PCIFE) - 701058,DG/IP,Interior
35,SECRETARIO EXECUTIVO (PCIFE) - 701076,DG/SC,Interior
36,ASSISTENTE DE ALUNO (PCIFE) - 701403,DG/SC,Interior
37,TECNOLOGO-FORMACAO (PCIFE) - 701081,RE,Capital
38,ODONTOLOGO - 40 HORAS (PCIFE) - 701064,DG/CNAT,Capital
39,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,CNAT,Capital
40,ASSISTENTE DE LABORATORIO (PCIFE) - 701437,DG/ZN,Capital
41,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/SPO,Interior
42,ANALISTA DE TEC DA INFORMACAO (PCIFE) - 701062,RE,Capital
43,TECNICO EM CONTABILIDADE (PCIFE) - 701224,DG/CA,Interior
44,TECNICO EM ENFERMAGEM (PCIFE) - 701233,DG/ZN,Capital
45,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/JC,Interior
46,CONTADOR (PCIFE) - 701015,DG/AP,Interior
47,ASSISTENTE SOCIAL (PCIFE) - 701006,DG/MC,Interior
48,PEDAGOGO-AREA (PCIFE) - 701058,DG/AP,Interior
49,NUTRICIONISTA-HABILITACAO (PCIFE) - 701055,DG/IP,Interior
50,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/CN,Interior
51,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
52,TECNOLOGO-FORMACAO (PCIFE) - 701081,RE,Capital
53,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/MC,Interior
54,ADMINISTRADOR (PCIFE) - 701001,DG/ZL,Capital
55,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/MO,Interior
56,ANALISTA DE TEC DA INFORMACAO (PCIFE) - 701062,RE,Capital
57,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/PF,Interior
58,MOTORISTA (PCIFE) - 701445,DG/MO,Interior
59,TECNICO EM SECRETARIADO (PCIFE) - 701275,DG/CNAT,Capital
60,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CN,Interior
61,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/PAR,Interior
62,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
63,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,RE,Capital
64,CONTADOR (PCIFE) - 701015,DG/PF,Interior
65,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,RE,Capital
66,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/CNAT,Capital
