cargo,classe_cargo,nivel_pretendido,nivel_reconhecido,total_processos
Assistente em Administração,Classe D,RSC-V,RSC-V,109
Assistente em Administração,Classe D,RSC-VI,RSC-VI,79
Auxiliar em Administração,Classe C,RSC-V,RSC-V,57
Técnico de Laboratório Area,Classe D,RSC-VI,RSC-VI,39
Assistente Social,Classe E,RSC-VI,RSC-VI,26
Técnico de Laboratório Area,Classe D,RSC-V,RSC-V,23
Assistente de Aluno,Classe C,RSC-V,RSC-V,18
Administrador,Classe E,RSC-VI,RSC-VI,18
Pedagogo,Classe E,RSC-VI,RSC-VI,15
Analista De Técnico Da Informacao,Classe E,RSC-VI,RSC-VI,12
Auxiliar em Administração,Classe C,RSC-VI,RSC-VI,12
Engenheiro,Classe E,RSC-VI,RSC-VI,11
Técnico De Tecnologia da Informação,Classe D,RSC-V,RSC-V,11
Psicólogo,Classe E,RSC-VI,RSC-VI,11
Técnico em Assuntos Educacionais,Classe E,RSC-VI,RSC-VI,11
Técnico em Enfermagem,Classe D,RSC-V,RSC-V,10
Contador,Classe E,RSC-VI,RSC-VI,10
Vigilante,Classe D,RSC-V,RSC-V,9
Tradutor e Intérprete de Libras,Classe D,RSC-V,RSC-V,8
Secretario Executivo,Classe E,RSC-VI,RSC-VI,8
Médico,Classe E,RSC-VI,RSC-VI,7
Técnico em Enfermagem,Classe D,RSC-VI,RSC-VI,7
Técnico em Assuntos Educacionais,Classe E,RSC-V,RSC-V,7
Odontólogo - 40 Horas,Classe E,RSC-VI,RSC-VI,7
Bibliotecário-Documentalista,Classe E,RSC-V,RSC-V,7
Auditor,Classe E,RSC-VI,RSC-VI,7
Técnico em Audiovisual,Classe D,RSC-V,RSC-V,6
Técnico De Tecnologia da Informação,Classe D,RSC-VI,RSC-VI,6
Assistente Social,Classe E,RSC-V,RSC-V,5
Auxiliar em Assuntos Educacionais,Classe C,RSC-V,RSC-V,5
Bibliotecário-Documentalista,Classe E,RSC-VI,RSC-VI,5
Auditor,Classe E,RSC-V,RSC-V,5
Tecnólogo,Classe E,RSC-V,RSC-V,5
Nutricionista,Classe E,RSC-VI,RSC-VI,5
Médico,Classe E,RSC-V,RSC-V,5
Administrador,Classe E,RSC-V,RSC-V,4
Técnico em Contabilidade,Classe D,RSC-VI,RSC-VI,4
