id_anonimo,campus,tipo_campus,cargo,classe_cargo,nivel_pretendido,nivel_reconhecido,status
0cdae8291e4af32d,CNAT,Capital,Tradutor e Intérprete de Libras,Classe D,RSC-VI,RSC-VI,Deferido
949e63dde25c681c,LAJ,Interior,Técnico Em Seguranca Do Trabalho,Classe D,RSC-V,RSC-V,Deferido
3e3d0961a88b03a0,MO,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
c09d6a1d13cada24,CN,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
b1b51f9949dc683b,ZN,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
ee553e42f9158cb2,CNAT,Capital,Motorista,Classe C,RSC-V,RSC-V,Deferido
eb0155fe8b464ccd,CNAT,Capital,Médico,Classe E,RSC-VI,RSC-VI,Deferido
e10c15d3f6b2cb09,PF,Interior,Médico,Classe E,RSC-V,RSC-V,Deferido
5f01c082c32d44d0,PAR,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
7e07ae0ae5ae5a96,ZL,Capital,Diagramador,Classe D,RSC-V,RSC-V,Deferido
143434223f30271f,MO,Interior,Vigilante,Classe D,RSC-III,RSC-III,Deferido
436cbe06b713f0ce,CN,Interior,Bibliotecário-Documentalista,Classe E,RSC-V,RSC-V,Deferido
b19533b2d3667db3,PF,Interior,Contador,Classe E,RSC-V,RSC-V,Deferido
4022f57685f02bc5,LAJ,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
493f5f2ec380659b,CNAT,Capital,Bibliotecário-Documentalista,Classe E,RSC-VI,RSC-VI,Deferido
114288020d6b55ff,RE,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
edaaae2682e1e031,RE,Capital,Secretario Executivo,Classe E,RSC-VI,RSC-VI,Deferido
56771d876f4893c1,PAR,Interior,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
5351bd11a6fac698,RE,Capital,Secretario Executivo,Classe E,RSC-VI,RSC-VI,Deferido
560cd7659fe09e57,RE,Capital,Tecnólogo,Classe E,RSC-V,RSC-V,Deferido
d58a87410c6fc6b4,CAGE,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
fbbb7739daa34e41,PF,Interior,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
9280be1753ef9037,CH,Capital,Técnico em Enfermagem,Classe D,RSC-VI,RSC-VI,Deferido
bd7fb6ef383cbe14,RE,Capital,Analista De Técnico Da Informacao,Classe E,RSC-VI,RSC-VI,Deferido
563b56a4070423a6,PAAS,Interior,Técnico Em Mineracao,Classe D,RSC-VI,RSC-VI,Deferido
a70f859d4349ef95,CH,Capital,Técnico em Assuntos Educacionais,Classe E,RSC-VI,RSC-VI,Deferido
6096872d7bd5aff3,NC,Interior,Bibliotecário-Documentalista,Classe E,RSC-V,RSC-V,Deferido
01c632ada614d5ba,ZN,Capital,Psicólogo,Classe E,RSC-VI,RSC-VI,Deferido
cba47adc42a23985,CN,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
6321976ba0a825fd,RE,Capital,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
ac0421b1d194e05e,CANG,Interior,Assistente de Laboratório,Classe C,RSC-V,RSC-V,Deferido
7f5eed27dc83fc08,PAAS,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
53bcdd23b9283637,SPP,Interior,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
e9a4d96dc0fb2512,MO,Interior,Pedagogo,Classe E,RSC-V,RSC-V,Deferido
9e5157e101feba02,CNAT,Capital,Motorista,Classe C,RSC-V,RSC-V,Deferido
34c19deacff266bc,LAJ,Interior,Enfermeiro,Classe E,RSC-V,RSC-V,Deferido
53d6cfd20bd37a3f,SPP,Interior,Assistente de Aluno,Classe C,RSC-V,RSC-V,Deferido
33d473c8de2b37f1,CNAT,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
d96ac1959975b90d,MO,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
d1d66bb273193586,PAR,Interior,Assistente Social,Classe E,RSC-V,RSC-V,Deferido
4e281c239ae3a58d,CNAT,Capital,Assistente de Laboratório,Classe C,RSC-VI,RSC-VI,Deferido
39bed966a2b3859a,CANG,Interior,Técnico de Laboratório Area,Classe D,RSC-VI,RSC-VI,Deferido
3fe3c65b95055fea,RE,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
80a2c52489f8e6a3,PF,Interior,Auditor,Classe E,RSC-VI,RSC-VI,Deferido
6561675ae460c7ff,CH,Capital,Técnico em Enfermagem,Classe D,RSC-VI,RSC-VI,Deferido
7524d125b65d2089,NC,Interior,Assistente Social,Classe E,RSC-VI,RSC-VI,Deferido
9a046a4843a895d0,CH,Capital,Técnico em Assuntos Educacionais,Classe E,RSC-V,RSC-V,Deferido
c81371da6d722d74,CNAT,Capital,Técnico em Enfermagem,Classe D,RSC-VI,RSC-VI,Deferido
328037d2eefe1504,CA,Interior,Técnico de Laboratório Area,Classe D,RSC-VI,RSC-VI,Deferido
922f0685eb66f307,CN,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
99f9cec84743584e,CNAT,Capital,Arquiteto E Urbanista,Classe E,RSC-VI,RSC-VI,Deferido
378bd22f4d70ea51,CH,Capital,Médico,Classe E,RSC-VI,RSC-VI,Deferido
4130e5bd66429df7,CN,Interior,Engenheiro,Classe E,RSC-VI,RSC-VI,Deferido
330e2dfd1b2427e3,JC,Interior,Engenheiro,Classe E,RSC-VI,RSC-VI,Deferido
51388c988a8fa648,PF,Interior,Assistente Social,Classe E,RSC-VI,RSC-VI,Deferido
cb00618e8e1081e1,CNAT,Capital,Técnico de Laboratório Area,Classe D,RSC-VI,RSC-VI,Deferido
73500b23ec5378b9,PAR,Interior,Assistente de Aluno,Classe C,RSC-V,RSC-V,Deferido
01d871e2ff0cb24b,MO,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
5d434659c481279f,CNAT,Capital,Tradutor e Intérprete de Libras,Classe D,RSC-VI,RSC-VI,Deferido
18702ccd93fc459b,CNAT,Capital,Técnico de Laboratório Area,Classe D,RSC-V,RSC-V,Deferido
1ef61bba9e86027b,RE,Capital,Técnico Em Seguranca Do Trabalho,Classe D,RSC-V,RSC-V,Deferido
0b281b69b93113de,RE,Capital,Técnico De Tecnologia da Informação,Classe D,RSC-V,RSC-V,Deferido
a3ec7c3549b92f18,RE,Capital,Técnico de Laboratório Area,Classe D,RSC-V,RSC-V,Deferido
a5d301b872a7992e,CNAT,Capital,Bibliotecário-Documentalista,Classe E,RSC-V,RSC-V,Deferido
2650923430810bba,ZN,Capital,Secretario Executivo,Classe E,RSC-VI,RSC-VI,Deferido
